worker_name,age,years_experience,monthly_income,avg_claims_per_year,city_risk_index,weather_exposure_index,safety_score,premium
Joshua Murphy,51,15.6,51731.06,1.32,1.47,0.22,0.41,2181.78
Sean Holder,50,18.5,82078.79,3.19,1.08,0.55,0.26,2781.66
Jason Silva,35,5.1,88844.61,3.81,0.93,0.68,0.78,2621.38
Daniel Nicholson,21,0.0,44818.35,0.07,1.0,0.87,0.47,1886.83
Kevin Young,46,14.7,40652.74,1.25,0.93,0.45,0.65,1687.88
William Moody,42,15.2,75840.19,2.51,1.24,0.23,0.84,2224.34
Patricia Marshall,27,3.4,89832.66,2.29,1.1,0.27,0.28,2124.94
Alison Fernandez,46,15.1,30078.46,3.11,0.94,0.28,0.71,2065.38
Thomas Rios,52,31.8,75471.11,3.65,1.42,0.85,0.35,3338.74
Mrs. Rachel Clark MD,41,20.0,81248.27,1.59,1.53,0.21,0.41,2147.74
Bradley Robbins,58,31.1,25771.62,1.12,1.74,0.13,0.31,2136.91
Elizabeth Howard,51,19.5,26283.41,3.51,1.04,1.0,0.76,2901.86
Samuel Gomez,50,14.0,65951.67,2.02,0.98,0.32,0.42,2269.07
Tammy Green,23,2.4,19197.64,3.71,1.18,0.98,0.14,3447.52
Amber Carter,25,5.8,34161.79,1.88,1.56,0.3,0.51,2489.24
James Obrien,60,24.8,19960.54,2.34,1.93,0.28,0.81,2501.49
Steven Mcclure,64,39.6,78709.36,1.58,1.61,0.95,0.65,2306.45
Kevin Bartlett,38,15.1,81714.13,2.9,0.91,0.75,0.52,2631.61
Sheila Mann,38,10.2,44826.19,3.86,1.65,0.37,0.28,3383.99
Bailey Wood,22,0.0,10233.86,1.54,1.66,0.56,0.51,2608.7
Christopher Brown,64,26.7,21525.77,1.77,1.65,0.71,0.39,2773.79
John Moore MD,65,35.6,62678.55,2.9,0.8,0.12,0.26,2093.32
Sarah Garcia,50,15.6,60572.8,2.46,1.71,0.13,0.59,2547.66
Emily Duran,43,23.8,14252.75,1.52,1.52,0.89,0.9,2468.68
Bryan Harper,56,21.6,75280.47,0.81,1.97,0.16,0.15,2363.36
Cynthia Perez,28,7.1,47859.28,2.34,1.62,0.33,0.6,2644.86
Tony Terry,22,0.7,66356.25,2.18,1.27,0.5,0.6,2578.62
Kayla Williams,23,0.0,81360.35,2.94,1.75,0.99,0.27,3347.82
Kara Diaz,61,30.4,13379.33,3.94,1.46,0.88,0.98,2927.68
Andrew Duran,30,2.8,41664.53,0.19,1.85,0.86,0.44,2615.7
John Anderson,60,32.9,49922.16,2.81,1.64,0.23,0.42,2787.98
Brittany Long,36,13.4,78282.01,0.78,1.07,0.64,0.74,1690.6
Andrew Smith,61,23.5,55792.56,0.13,1.76,0.29,0.75,1763.38
David Crawford,63,22.3,84494.27,3.09,1.03,0.9,0.21,2748.2
Jessica Hernandez,41,19.7,81246.73,0.21,1.68,0.55,0.99,2105.65
Sandra Morales,39,15.3,46277.39,1.27,1.7,0.74,0.74,2398.27
Brittany Schaefer,27,0.0,66849.56,3.88,1.8,0.83,0.11,3757.81
Cynthia Williams,36,5.6,77587.9,0.75,1.01,0.68,0.74,1812.64
Alvin Lopez,34,8.4,53096.44,3.22,0.86,0.62,0.98,2547.65
Wendy Davis,61,25.1,60875.53,0.66,1.17,0.25,0.52,1546.66
Dustin Williams,31,10.3,46837.05,2.0,1.73,0.47,0.64,2664.78
Mitchell Mccoy,20,0.0,62482.74,3.45,1.74,0.72,0.91,3048.82
Hailey Thomas,55,28.4,18338.06,0.85,1.5,0.29,0.32,2186.85
Travis Henry,25,0.0,88287.14,2.83,1.57,0.2,0.12,2830.94
Adam Ibarra,29,2.5,63522.01,2.5,1.39,0.77,0.43,2904.41
David Keller,45,17.9,66452.28,1.82,0.84,0.65,0.95,1810.58
Gloria Garcia,39,13.7,74848.03,1.08,0.99,0.32,0.21,1876.23
Debra Huff,26,0.0,64108.49,3.49,1.37,0.39,0.77,2734.12
William Berry,28,6.5,11140.49,2.05,0.93,0.11,0.71,1965.37
James Robinson,47,18.2,63814.92,2.15,0.97,0.23,0.19,2025.46
Judith Edwards,51,26.1,49687.47,1.04,1.18,0.81,0.27,2393.76
Emily Keller,50,27.7,21853.95,3.49,1.47,0.37,0.91,2485.59
Michael Jones,21,0.0,83444.65,3.61,1.66,0.76,0.89,3383.85
Christine Wheeler,51,16.9,33951.13,3.46,1.43,0.61,0.63,2925.04
Tammy Ward,35,6.2,14891.87,1.2,1.26,0.82,0.47,2513.85
Kimberly Smith,51,31.4,48757.53,1.29,1.56,0.8,0.78,2302.79
Elizabeth Nichols,22,1.9,60953.21,1.16,1.03,0.26,0.8,1744.91
Michael Nguyen,61,34.5,32926.4,2.17,2.0,0.79,0.73,3067.3
Allison Williams,35,7.1,79615.66,0.02,1.57,0.19,0.25,1846.95
Chloe Moore,45,11.6,29403.89,2.66,1.31,0.93,0.87,2701.38
Tyler Smith,38,16.2,32978.02,3.4,0.8,0.28,0.99,1952.18
Christopher Crawford,54,26.1,82769.36,2.73,1.62,0.68,0.7,2733.6
Frederick Carter,56,26.8,75155.42,2.59,1.14,0.87,0.96,2528.24
Shelby Carrillo,37,11.1,48674.64,0.22,1.62,0.28,0.97,1502.26
Mario Lester,19,0.0,10773.16,3.94,1.53,0.95,0.75,3471.61
Jonathan Reynolds,32,4.9,86968.03,0.27,1.96,0.74,0.44,2726.02
James Holder,30,7.4,53824.84,3.38,1.83,0.34,0.71,3040.55
Mary Armstrong,45,15.2,65452.65,1.1,1.27,0.86,0.19,2414.33
Denise Woods,44,15.5,27878.67,2.03,1.84,0.71,0.17,3097.1
Rita Adams,31,6.8,78322.4,0.34,0.86,0.4,0.99,1183.49
Robert Burke,42,12.0,24037.33,2.84,1.49,0.8,0.41,2946.06
Kayla Stafford,27,2.5,80971.96,0.65,1.0,0.75,0.48,1956.95
David Jones,60,23.2,87033.21,1.6,1.39,0.85,0.97,2206.44
Erica Johnston,23,1.5,72949.85,2.01,1.45,0.73,0.3,2684.67
Patrick Goodwin,50,16.7,55320.24,0.97,1.4,0.33,0.41,2067.98
Margaret Mclean,61,25.3,25867.56,2.9,0.88,0.28,0.51,1878.97
Eric Santana,56,29.7,51714.03,1.73,1.15,0.55,0.55,2094.54
Daniel Thomas,52,23.7,34766.75,3.8,1.66,0.63,0.78,3220.8
Katie Ball,25,0.0,48455.39,3.03,1.76,0.33,0.28,3139.38
Bradley Richardson,19,0.0,29174.49,2.17,1.24,0.85,0.78,2129.0
Steven Johnson,37,16.7,41418.97,2.99,0.94,0.76,0.33,2471.97
Austin Long,55,26.4,75913.64,0.59,1.97,0.36,0.81,2026.09
Roger Williams,24,2.7,11027.29,3.31,0.97,0.91,0.83,2546.55
Christy Harper,42,11.9,84043.73,0.24,1.36,0.78,0.11,2284.75
Jason Roberts,53,21.2,81414.41,3.2,1.97,0.59,0.64,3078.33
Amber Reese,41,15.9,27440.06,0.47,1.67,0.44,0.74,2171.09
Kim Johnson,61,27.3,87381.18,3.62,1.47,0.53,0.98,2471.62
Kimberly Thomas,57,35.4,27703.39,1.22,1.91,0.93,0.26,2810.12
Zachary Williams,35,12.8,67956.68,0.72,1.99,0.86,0.35,2883.17
Nathan Olson,55,20.3,29765.63,1.33,0.84,0.2,0.57,1557.01
Jennifer Powell,56,21.7,68948.27,0.54,1.64,0.77,0.49,2103.43
Sherri Rocha,59,23.9,17754.1,0.72,1.23,0.14,0.95,1404.47
Manuel Lopez,23,0.0,20576.66,3.65,1.01,0.94,0.12,3359.64
Katherine Spence,58,21.3,15078.44,2.93,1.44,0.73,0.21,2938.38
James Rodriguez,18,0.0,76729.81,2.87,1.44,0.6,0.19,3066.1
Bryan Warren,48,18.5,86258.83,2.53,1.17,0.76,0.24,2710.44
Haley Coleman,33,7.4,80488.05,0.98,1.31,0.72,0.58,2262.52
Jason Gray,63,29.2,67096.74,3.18,0.85,0.53,0.87,2153.42
Joseph Wolf,61,31.0,63327.17,2.39,1.75,0.75,0.93,2647.48
Mr. Kyle Martin,22,2.0,31229.46,0.77,1.46,0.33,0.67,2161.41
Charles Stout,31,8.1,84632.58,1.21,1.27,0.42,0.97,1981.46
Manuel Hartman,28,0.0,27988.03,3.93,1.23,0.91,0.36,3477.39
Heather Walker,38,13.1,55618.7,2.44,1.13,0.53,0.43,2589.78
Ruth Russo,20,0.0,73831.6,0.43,1.11,0.15,0.99,1652.5
Anne Cox,23,2.8,60402.86,0.73,1.53,0.21,0.18,1897.99
Lori Smith,34,6.2,62326.11,2.87,0.84,0.3,0.36,2468.13
Matthew Martinez,52,21.5,52951.62,1.76,1.24,0.22,0.26,2350.51
Mallory Mann,61,37.0,87712.91,0.95,1.05,0.84,0.77,1719.13
Sarah Smith,36,8.4,64728.92,2.69,1.19,0.19,0.46,2473.58
Sarah Beltran,56,27.4,55683.09,3.0,1.72,0.34,0.37,3028.89
Kathy Conley,29,0.8,69261.93,1.83,1.52,0.78,0.26,2930.76
Nancy Smith,19,0.0,61032.76,1.05,1.71,0.55,0.99,2367.4
Mrs. Jacqueline Cantu,34,10.1,37865.31,2.92,1.37,0.55,0.65,2804.65
Morgan Cook,48,13.9,30182.8,1.86,1.93,0.55,0.59,2677.79
Brandon Morrow,24,0.0,51556.35,2.77,1.01,0.15,0.42,2313.34
Brian Perez,47,16.7,47074.2,2.35,1.01,0.31,0.76,2168.61
Laura Houston,53,27.4,48837.75,3.92,1.5,0.44,0.44,3032.01
Adrian Ellis,40,11.6,82636.2,0.77,1.05,0.35,0.98,1668.72
Alyssa Harris,51,22.8,76646.13,3.78,1.09,0.14,0.82,2195.67
Joseph Mcfarland,48,21.2,71093.58,3.66,1.36,0.86,0.98,2925.53
James Haley,42,9.6,56294.38,3.72,1.37,0.58,0.61,3063.04
Keith Chavez,49,21.0,13177.15,3.28,1.46,0.82,0.72,3032.59
Karen Harvey,32,8.0,48830.79,1.9,1.21,0.29,0.4,2380.34
Lawrence Taylor,40,8.0,28072.04,2.59,0.9,0.44,0.18,2441.21
Craig Collins,18,0.0,58441.35,1.09,1.48,0.45,0.94,2002.03
Michael Williams,36,10.7,66254.93,0.46,0.85,0.5,0.65,1376.42
Susan Nelson,61,33.5,59341.95,1.07,1.85,0.89,0.83,2380.25
Ray Hammond,37,13.3,50480.44,2.62,1.25,0.64,0.87,2392.0
Leah Cortez,30,8.6,34121.21,2.66,1.34,0.41,0.44,2748.86
Katie Tran,28,6.0,85124.51,2.07,1.43,0.76,0.3,2633.11
Richard Turner,54,23.7,57422.92,2.55,1.96,0.52,0.17,2850.2
Robert Hernandez,51,19.3,61594.56,0.23,1.77,0.38,0.75,1960.56
Krista Bautista,28,3.7,50138.85,0.31,0.81,0.28,0.27,1412.25
Tracy Johnson,54,32.9,70772.13,2.21,0.89,0.96,0.77,2317.82
Steven Phillips,21,0.0,15111.6,1.86,1.81,0.67,0.95,2552.63
Jessica Lopez,31,8.9,22375.93,0.65,0.95,0.98,0.3,1871.35
Robin Pearson,58,23.7,11195.92,2.96,1.35,0.53,0.36,2848.77
Mr. Carlos Knapp,50,14.8,45500.92,1.66,1.22,0.8,0.98,2292.9
Michael Adams,20,0.0,20179.8,1.19,1.85,0.15,0.97,2321.27
Robert Morris,45,14.7,11373.51,2.29,1.42,0.13,0.39,2361.4
Mark Smith,27,0.0,80770.45,0.11,0.95,0.21,0.9,1168.54
Daniel Shaw,21,0.0,42489.07,3.84,1.51,0.3,0.79,2908.72
Raymond Moore,48,17.4,75277.36,3.42,1.1,0.92,0.96,2615.09
Gregory Lopez,43,16.3,28974.81,0.6,1.79,0.17,0.82,1860.38
Diane Campbell,35,8.2,82443.02,0.82,1.66,0.76,0.57,2376.48
Chelsea Vaughn,46,18.6,13394.76,0.33,1.72,0.56,0.47,2147.75
Ashley Patel,47,18.4,54347.76,0.75,1.75,0.86,0.59,2269.46
Andrew Waters,53,21.8,45396.13,2.36,1.74,0.96,0.37,3295.15
Miguel Mack,59,30.3,37967.09,0.49,1.1,0.57,0.41,1691.55
Michael Dudley,32,9.1,36774.19,1.58,1.74,0.7,0.12,2761.56
Katherine Carr,59,26.3,71933.77,1.51,1.75,0.16,0.83,2142.22
Darlene Armstrong,59,25.6,51066.09,2.57,1.66,0.37,0.29,2618.77
Cynthia Perez,45,20.1,72422.97,1.48,1.76,0.63,0.68,2362.78
Henry Shaw,59,27.6,69054.2,2.73,1.73,0.61,0.44,2949.12
Sandra Charles,33,5.5,18569.65,1.05,1.93,0.76,0.86,2561.09
Haley Robinson,48,27.2,47786.65,2.82,1.96,0.49,0.37,3192.0
Curtis Kidd,51,21.0,48471.33,2.48,1.46,0.6,0.19,2764.46
David Rasmussen,56,23.5,13232.28,1.98,1.47,0.54,0.71,2366.59
Ashley Daniels,20,0.0,77625.23,2.55,1.35,0.56,0.18,2970.09
Jamie Moore,45,12.3,64847.66,3.96,1.02,0.88,0.31,3203.3
Austin Hines,41,15.1,75336.31,2.12,1.75,0.43,0.73,2620.18
Katelyn Deleon,36,13.4,80283.16,1.34,1.86,0.69,0.75,2591.69
Barbara Wood,28,0.0,48424.28,0.63,1.67,0.43,0.37,2286.85
Krista Bush,36,15.0,20634.38,2.02,1.55,0.74,0.5,2761.43
Kaylee Stewart,32,10.0,40541.33,3.13,1.38,0.6,0.81,2662.35
Rita Jenkins,45,19.6,53674.3,2.64,0.88,0.97,0.33,2659.23
David Valentine,45,24.6,57455.5,3.26,1.6,0.39,0.65,2831.12
Jack Green,29,8.1,12343.43,3.94,1.23,0.12,0.14,3034.86
Desiree Walker,36,6.2,29740.88,1.41,1.54,0.78,0.76,2566.98
Brian Smith,62,37.6,39917.13,2.0,1.28,0.41,0.76,2059.36
Daniel Sherman,47,22.6,72119.44,1.24,1.87,0.95,0.85,2649.22
Mackenzie Thomas,51,17.4,16797.04,3.08,0.87,0.84,0.52,2491.61
Sarah Mann,37,15.7,30051.48,0.45,1.28,0.98,0.87,1832.91
Justin Stokes,23,1.5,23552.79,0.33,1.68,0.44,0.81,1856.18
Kimberly Smith,50,27.2,46259.6,0.13,1.64,0.7,0.42,1844.11
Rhonda Morris,50,19.4,45402.34,0.99,1.95,0.39,0.48,2387.97
Misty Adams,33,8.1,76508.74,1.16,1.78,0.82,0.5,2688.94
Ricky Jones,50,21.8,75859.21,3.59,0.86,0.7,0.93,2597.55
Michael Lane,27,5.4,13077.65,0.44,1.94,0.11,0.92,1891.06
Jacqueline Harris,25,1.7,32155.22,3.78,1.54,0.34,0.16,3476.68
Kristin Lopez,63,34.0,80660.39,2.48,1.97,0.15,0.38,2842.37
Thomas Gray,64,45.7,15016.45,0.3,1.23,0.43,0.63,1288.99
Laura Harris,35,9.3,24290.28,2.11,1.57,0.33,0.79,2191.85
Kyle Martinez,65,32.9,72973.8,2.01,0.84,0.55,0.5,2108.07
Kurt Butler,41,12.5,47699.78,3.67,1.31,0.15,0.4,2868.62
Andrew Walker,49,19.9,88028.7,2.08,1.51,0.16,0.3,2341.23
James Jones,20,0.0,53356.52,0.62,1.13,0.29,0.33,1650.18
Eric Tucker,47,18.9,55483.68,0.99,1.02,0.75,0.3,2058.51
Darlene Turner,62,27.7,62719.19,1.6,1.99,0.76,0.76,2657.08
Jessica Lopez,21,0.0,54765.7,0.86,1.41,0.55,0.79,2102.48
Julia Johnson,52,18.1,87340.33,3.54,1.79,0.31,0.43,3025.16
Michelle Randall,64,28.5,76971.98,2.58,1.35,0.88,0.65,2861.35
Jonathon Martin,28,1.9,17924.43,0.71,1.57,0.11,0.77,1957.38
Laura Owens,64,34.4,38455.98,3.67,1.84,0.63,0.63,3289.59
Miguel Robbins,33,9.0,61628.93,3.11,1.13,0.46,0.56,2711.51
William Davis,64,33.7,68480.27,3.13,1.96,0.42,0.42,3127.94
Paul Boyd,18,0.0,70812.18,2.32,1.76,0.8,0.8,2791.68
Gabriel Castro,22,0.0,54780.41,3.3,0.94,0.85,0.53,2806.49
Jerry Long,61,21.6,71445.58,1.43,1.34,0.39,0.36,2202.97
Jennifer Barnes,41,16.7,46248.11,2.15,0.86,0.97,0.9,2132.04
Julie Collins,44,18.4,20416.95,0.79,1.67,0.77,0.74,2392.39
Ruth Green,18,0.0,23215.47,0.88,1.87,0.56,0.7,2503.72
Barry Haynes,54,18.8,25562.73,0.95,1.23,0.67,0.85,1919.82
Jill Lucas,33,11.3,40433.45,1.9,1.95,0.52,0.42,3015.38
Shirley Frederick,29,1.7,72910.0,3.51,1.33,0.3,0.91,2711.2
William Johnson,36,11.9,27313.21,2.71,1.54,0.39,0.9,2502.03
Tamara Mccoy,24,1.3,64566.41,0.3,1.74,0.55,0.33,2247.66
William Reyes,62,33.0,74513.85,3.06,1.85,0.73,0.8,3130.89
Christina Butler,26,1.9,41415.09,0.46,1.93,0.71,0.79,2220.91
Andrew Martinez,60,34.8,40814.48,0.27,1.07,0.39,0.67,1118.87
Christina Taylor,20,0.0,35785.23,3.78,1.54,0.14,0.3,3075.24
Nicholas Hicks,30,5.5,50207.6,3.66,1.46,0.38,0.31,3192.06
Joseph Pruitt,35,13.8,33953.27,3.04,1.49,0.76,0.96,2727.66
John Clark,28,5.8,17089.29,3.65,1.98,0.22,0.3,3422.27
Dave Rodriguez,39,13.6,36677.37,0.58,1.6,0.23,0.53,1957.32
Miss Jane Gonzales MD,65,28.7,68238.94,3.67,1.35,0.82,0.8,2769.86
Debra Henry,45,17.3,21817.38,1.34,1.66,0.58,0.81,2040.01
Andrea Nguyen,42,14.7,13327.87,2.09,0.81,0.79,0.9,1874.74
Kristin Nelson,51,22.0,85000.65,1.3,0.84,0.13,0.34,1510.65
Carla Reynolds,24,5.1,33166.53,3.65,0.91,0.3,0.73,2272.19
Ebony Mills,56,29.0,51900.28,1.66,1.05,1.0,0.68,2122.08
Devon Thomas,31,7.9,40786.89,3.18,1.4,0.55,0.95,2499.85
Carla Young,49,20.2,12817.94,0.34,0.82,0.34,0.15,1746.83
Amanda Ward,23,0.0,64950.22,3.1,1.23,0.18,0.63,2585.57
Jennifer Woods,18,0.0,74823.7,1.7,1.34,0.38,0.33,2406.51
Mr. Richard Daniels,31,9.1,43448.55,3.52,1.0,0.71,0.81,2626.08
Samantha Beck,27,0.0,68514.41,2.77,1.29,0.33,0.61,2372.72
Michelle Henry,31,10.2,18501.01,1.22,1.54,0.15,0.85,2026.74
Amanda Jones,59,34.3,10348.56,2.15,1.15,0.18,0.18,2225.24
Eugene Andrade,42,16.1,76208.23,2.46,1.18,0.67,0.44,2625.83
Peter Powell,62,27.5,30962.98,1.49,1.41,0.6,0.29,2273.44
Cody Cox,58,31.9,45764.26,1.41,1.38,0.49,0.29,2187.75
Rhonda Villarreal,35,6.1,75925.66,3.16,1.16,0.61,0.26,2892.08
Melissa Ward,18,0.0,70899.22,1.72,1.2,0.71,0.65,2311.89
Sherry Wilson,55,21.9,50683.91,2.23,1.3,0.52,0.55,2430.62
Austin Adkins,25,1.6,63379.34,2.58,0.85,0.86,0.44,2513.46
Megan Burns,43,16.3,88630.39,3.9,1.86,0.29,0.49,3160.0
Jean Hull,22,0.0,11543.42,2.17,1.03,0.45,0.68,2043.3
Sharon Smith,63,31.9,22815.3,3.79,0.87,0.89,0.28,2977.84
Michael Frank,26,6.2,40737.45,3.99,0.93,0.75,0.89,2615.8
Scott Hill,49,19.4,34172.01,0.34,1.99,0.34,0.65,2052.79
Andrea Bowers,62,34.3,51331.2,1.71,0.83,0.56,0.64,1844.59
Steven Williams,37,12.7,20230.5,1.06,1.12,0.34,0.84,1804.96
Melissa Collins,34,10.7,55785.95,0.66,1.1,0.13,0.3,1844.28
Elizabeth Saunders,48,23.1,76607.42,0.73,1.85,0.51,0.33,2453.73
Jeffrey Morgan,59,28.3,70466.3,0.3,0.95,0.88,0.55,1580.05
Stacey Delgado,20,0.0,80389.07,3.9,1.43,0.42,0.48,3095.61
Eric Little,37,7.2,53210.39,1.6,1.22,0.38,0.57,2168.38
Daniel Velazquez,39,11.4,41570.41,3.37,1.3,0.18,0.89,2410.07
Teresa Wilson,37,10.0,77683.1,3.49,0.87,0.85,0.9,2464.19
David Sherman,48,20.5,77367.55,2.82,1.91,0.76,0.7,2857.39
Reginald Vasquez,18,0.0,56785.83,2.83,1.21,0.36,0.85,2549.45
Emily Hess,40,9.4,69121.18,3.88,1.07,0.74,0.85,2899.03
Angela Miller,22,1.6,66348.4,3.56,1.99,0.16,0.27,3295.59
Jacqueline Jordan,57,30.2,34093.84,2.28,1.58,0.38,0.26,2567.57
Leslie Robinson,54,22.7,49870.31,0.37,1.48,0.69,0.83,1732.71
Maria Martinez,40,9.4,19975.86,2.82,0.84,0.3,0.83,2012.87
Caitlin Atkinson,32,8.4,53315.12,0.68,1.8,0.66,0.67,2324.93
Michael Morgan,54,31.9,61122.82,0.2,1.99,0.6,0.18,2430.74
James Erickson,36,11.2,31901.02,0.69,1.81,0.12,0.34,2174.13
Emily Huff,30,3.3,41664.49,3.64,1.85,0.95,0.6,3596.94
Melanie Silva,64,26.0,82493.39,3.4,1.84,0.6,0.51,3119.54
Robert Norman,21,0.0,75345.06,1.73,1.24,0.4,0.85,2223.76
Miranda Klein,36,8.1,42144.38,3.77,1.18,0.79,0.78,3067.35
Jeffrey Parks,20,0.0,73795.64,0.27,1.05,0.52,0.94,1507.08
Dominic Jarvis,45,16.9,27563.36,0.13,0.83,0.6,0.19,1788.46
Steven Schroeder,42,21.1,47337.98,2.07,1.65,0.66,0.61,2488.69
Leslie Blair,47,17.4,60176.88,0.82,1.8,0.25,0.13,2380.35
Stephanie Glenn,60,29.4,17773.93,2.24,1.98,0.36,0.77,2631.11
Craig Holmes,25,0.0,40241.76,0.32,1.45,0.24,0.7,1536.16
Felicia Heath,44,19.9,56367.61,3.14,1.21,0.67,0.4,2702.83
Mr. Dean Perez,55,23.0,70825.32,2.56,1.8,0.75,0.67,2836.35
Michael Villarreal,22,1.5,68552.81,2.48,1.87,0.49,0.67,2954.32
Samuel Clark,62,26.0,27722.45,3.32,1.65,0.89,0.51,3146.79
Jacob Smith,52,20.6,89636.54,2.31,1.57,0.36,0.66,2204.57
John Jefferson,33,10.0,16412.15,3.17,1.52,0.9,0.19,3375.98
John Bernard,38,6.1,13337.03,2.68,1.25,0.26,0.66,2454.23
Ashley Hamilton DVM,61,26.2,86828.26,3.64,1.01,0.37,0.4,2621.35
Ashley Garza,61,38.0,81143.52,0.91,1.67,0.93,0.8,2210.46
Laura Morris,29,7.5,43838.32,3.01,1.35,0.48,0.22,2866.81
John Turner,59,28.1,84225.31,0.13,1.6,0.73,0.89,1818.73
Tyler Skinner,47,17.2,11940.83,3.22,1.49,0.2,0.45,2562.46
Matthew Turner,19,0.0,26611.4,2.04,1.2,0.41,0.14,2454.4
William Harris,22,0.0,54592.15,3.22,1.37,0.9,0.24,3107.76
Stephanie Wright,50,24.4,47356.69,1.0,1.17,0.78,0.85,2007.59
Zachary Peters,32,4.1,62774.75,0.16,1.75,0.6,0.66,2323.91
John Martin,50,21.5,48489.38,0.52,0.97,0.96,0.88,1753.86
Virginia Mcdonald,51,19.2,21131.34,3.95,1.83,0.21,0.92,2988.82
Lauren Chandler,19,0.0,69818.35,1.98,1.92,0.43,0.15,3071.17
Joseph Hodge,43,13.6,39690.78,2.82,1.84,0.64,0.36,3137.47
Marissa Spencer,61,23.7,74207.77,2.23,1.03,0.41,0.69,1754.25
Ryan Travis,56,25.3,67845.61,1.86,1.63,0.72,0.74,2452.85
Nicholas Smith,48,21.6,84621.56,3.64,1.29,0.83,0.92,2829.93
Cynthia Jones,23,1.9,76353.04,0.41,1.35,0.61,0.9,1945.49
Jermaine Gonzalez,60,33.6,23759.09,3.42,1.32,0.24,0.92,2253.73
Edward Dorsey,30,1.6,21220.34,1.39,0.8,0.32,0.13,2139.23
Daniel Klein,46,12.2,50112.87,1.87,1.06,0.26,0.38,2101.06
Jennifer Humphrey,65,31.0,71701.4,0.84,0.83,0.12,0.54,1357.93
Sarah Hoffman,62,31.8,27421.07,1.26,1.43,0.46,0.33,2178.96
Wendy Andrews,60,34.3,89099.14,0.88,0.96,0.46,0.17,1853.53
